Cottoperca gobio	fCotGob3.1
Coturnix japonica	Coturnix_japonica_2.1
Crassostrea gigas	cgigas_uk_roslin_v1
Crassostrea hongkongensis	ASM1577677v1
Crassostrea virginica	C_virginica-3.0
Cricetulus griseus	CriGri_1.0
Crocodylus porosus	CroPor_comp1
Crotalus horridus	ASM162548v1
Crotalus mitchellii	CrotMitch1.0
Crotalus tigris	ASM1654583v1
Crotalus viridis	UTA_CroVir_3.0
Cryptotermes secundus	Csec_1.0
Ctenocephalides felis	ASM342690v1
Cuculus canorus	ASM70932v1
Culex pipiens	TS_Cpip_V1
Culex quinquefasciatus	VPISU_Cqui_1.0_pri_paternal
Cyanistes caeruleus	cyaCae2
Cyclina sinensis	ASM1293229v1
Cyclopterus lumpus	fCycLum1.pri
Cygnus atratus	Cygnus_atratus_primary_v1.0
Cynoglossus semilaevis	Cse_v1.0
Cyphomyrmex costatus	Ccosl1.0
Cyprinodon tularosa	ASM1607723v1
Cyprinodon variegatus	C_variegatus-1.0
Cyprinus carpio	common_carp_genome
Danaus plexippus	Dplex_v4
Danio rerio	GRCz11
Daphnia magna	ASM399081v1
Dasypus novemcinctus	Dasnov3.0
Delphinapterus leucas	ASM228892v3
Dendroctonus ponderosae	DendPond_male_1.0
Dendronephthya gigantea	DenGig_1.0
Denticeps clupeoides	fDenClu1.1
Dermacentor silvarum	ASM1333974v1
Dermatophagoides pteronyssinus	ASM190122v2
Dermochelys coriacea	rDerCor1.pri.v3
Desmodus rotundus	ASM294091v2
Diabrotica virgifera	Dvir_v2.0
Diachasma alloeum	Dall2.0
Diaphorina citri	Diaci_psyllid_genome_assembly_version_1.1
Dinoponera quadriceps	ASM131382v1
Dipodomys ordii	Dord_2.0
Diuraphis noxia	Dnoxia_1.0
Dreissena rostriformis	UV_Dro_v1.1
Dromaius novaehollandiae	droNov1
Drosophila albomicans	drosAlbom15112-1751.03v1
Drosophila ananassae	DanaRS2.1
Drosophila arizonae	ASM165402v1
Drosophila biarmipes	Dbia_2.0
Drosophila bipectinata	Dbip_2.0
Drosophila busckii	ASM1175060v1
Drosophila elegans	Dele_2.0
Drosophila erecta	DereRS2
Drosophila eugracilis	Deug_2.0
Drosophila ficusphila	Dfic_2.0
Drosophila grimshawi	dgri_caf1
Drosophila guanche	DGUA_6
Drosophila hydei	DhydRS2
Drosophila innubila	UK_Dinn_1.0
Drosophila kikkawai	Dkik_2.0
Drosophila mauritiana	ASM438214v1
Drosophila melanogaster	Release_6_plus_ISO1_MT
Drosophila miranda	D.miranda_PacBio2.1
Drosophila mojavensis	dmoj_caf1
Drosophila navojoa	UFRJ_Dnav_4.2
Drosophila novamexicana	DnovRS2.1
Drosophila obscura	Dobs_1.0
Drosophila persimilis	DperRS2
Drosophila pseudoobscura	UCI_Dpse_MV25
Drosophila rhopaloa	Drho_2.0
Drosophila santomea	Prin_Dsan_1.0
Drosophila sechellia	ASM438219v1
Drosophila serrata	Dser1.0
Drosophila simulans	Prin_Dsim_3.0
Drosophila subobscura	UCBerk_Dsub_1.0
Drosophila subpulchrella	RU_Dsub_v1.1
Drosophila suzukii	LBDM_Dsuz_2.1.pri
Drosophila takahashii	Dtak_2.0
Drosophila virilis	DvirRS2
Drosophila willistoni	dwil_caf1
Drosophila yakuba	Prin_Dyak_Tai18E2_2.0
